uuid,fid2,land_type2,issue_year2
c2d876e4-55ae-4b1a-93b9-22f52a5f432a,30212,100,2022
85874473-973b-456d-8825-4dad3e4b4b0f,34315,100,2022
c005ff4d-53a5-4ff4-8e34-9542b53af0f2,30049,100,2022
629028e9-ff21-47c5-8adf-cd1f4411b0f6,34765,100,2022
9eff9ced-a6e9-428e-8a47-4e3e8664a30d,11431,100,2022
e2d82e15-6870-4d62-bd5f-65253178945f,34692,100,2022
945587ca-cc78-4b36-b97a-06ab7c3bb173,34164,100,2022
8080222f-5a6a-4f04-b20e-fe15c88b5b37,34652,100,2022
867dba5a-ef18-46c6-b945-b173c637417c,34454,100,2022
022c169d-623b-4912-905c-5158837d652d,34843,200,2022
1b145f3a-1516-4d08-98f6-40f09bd4b121,29986,200,2022
0f9216c0-4d27-449b-b610-f8a375719aeb,34152,100,2022
7b475ab0-8ea2-489b-9212-d273b9542448,34740,100,2022
3c9d0ccc-caf3-488a-ba6a-547b09b428d6,34683,100,2022
be2915cd-cb44-4eba-b9d0-e5a09fe02509,34664,100,2022
f9f279f1-5c25-4760-a597-a9cf5692b6bb,34205,100,2022
84133a2b-b91f-496e-b0ad-17a4f508a545,11422,200,2022
428c8682-2f49-480c-9270-2fce75f2f253,34195,100,2022
c160a2a0-1db3-4607-9c1f-f8702426485b,29958,100,2022
7735e235-0f1f-4799-bf7b-37e77cce7bf9,11436,100,2022
50718a80-b1c7-4d6d-84f3-7c5058f00799,29902,100,2022
d484d70e-5bdd-4107-a294-b56655b073b7,30176,100,2022
785e3112-17c2-41e3-b938-14d9dc19eaf9,34350,100,2022
4b31287b-7ee5-4249-a823-00b5f4de0810,30263,100,2022
f0b79297-e5f0-4785-bfa4-8a27e682e6bc,34622,100,2022
516a1eec-b3fa-4c71-a375-fb0eb3a8158f,30102,100,2022
3a6fc269-4daa-4b84-8834-9ff3f11ca51a,34349,100,2022
e6cc1b27-7653-4b32-821b-99b69ea3387d,30193,200,2022
91bdda57-d033-4cc5-9ebb-c571fd616203,34426,100,2022
a4d0dc84-8161-4854-b61b-f0bdcdf80bc7,30196,100,2022
bce8479b-0508-4f12-bc2a-753acbfd56ef,11355,100,2022
148f80a6-6fef-4239-bfb8-387c06c76f19,34590,200,2022
d9ca4802-0b5b-4aff-8ecf-5c9b25665406,30226,200,2022
196ea53f-6e80-4601-9b9a-522e6614196b,29987,200,2022
7d622da4-33d8-4fe8-bab0-67be0b1225ed,34721,200,2022
0870d59c-e898-47ed-a6d2-c60e74b8f0ac,5227,200,2022
5dca4b5e-5ff6-4132-80d0-b59070339ca7,5232,200,2022
385ac628-22d2-4fa1-ab1c-f0b550832ea3,24312,200,2022
041920da-0840-41d3-a5b4-ad19fdd087e3,34704,200,2022
b0ac0851-7225-4d8f-84f9-7345c91e9c0b,24360,200,2022
79851eec-caeb-4204-b05c-ccf787b59efb,34145,200,2022
c4712b6d-152e-40fa-b2e5-ac85a4f07749,34354,200,2022
7db23494-a746-473a-834e-22cbc23e460d,34717,200,2022
f47b30d8-c3a7-4170-b81f-ce2e927d6884,30249,100,2022
4359e260-c875-4518-8092-d7c0cce7f74e,29974,200,2022
155946df-a67c-4148-8549-26b1ff38bf0a,34249,100,2022
b42fc5ca-a055-40f0-bf92-ee9af961881d,34158,100,2022
a079ed43-4b8a-44d2-9f15-b2cba09ee510,34460,100,2022
b958b567-1e82-476c-aa91-d127487f2397,34714,100,2022
3c00ad8e-956c-4183-b596-f8c0b0524274,34747,100,2022
09a8ef3e-1087-4b4f-8f1e-4821c0b643da,34465,200,2022
cae5b871-3a60-47a4-8539-ff67e7188e1c,34568,100,2022
2063ed84-a0fb-4faf-a76e-154657f143c3,34661,100,2022
5efbf51f-c6e0-4738-9d40-09e6ee29e99e,34505,100,2022
f9807d27-12bc-4f0d-a57b-1851b8d0e6a7,30076,100,2022
15bf18c3-8fc1-47aa-b61d-171c985e73d2,34467,100,2022
48db2fff-312a-45bc-86cb-2ab0af9c0dbf,34859,100,2022
cecdc54f-6c4b-4a79-9d3b-d96f9928ec2c,30011,100,2022
b6454217-159d-4ed4-93b3-9f48480e7715,34376,100,2022
e34eec39-a9f6-45b4-95ac-2f585c4c861f,11402,100,2022
8a59bc0a-ad65-4b28-a012-d2e655d4b9b2,34752,200,2022
080fb5a2-e9e8-48f3-8de5-e28d4f234c9d,34642,100,2022
5d9ff201-21e0-476e-9fc1-6460da31b8cd,34630,100,2022
3ece19cb-f8fd-498c-a39b-e941964481ce,30222,100,2022
07b6dede-074d-4f52-9c0a-b7f338101dea,34394,100,2022
4c99e68e-e2f9-4ee0-ba74-4c9d3737d5cb,34290,100,2022
be3e51c8-dfe8-4d26-aa68-e2c4f801baac,34233,100,2022
049b5dec-8f27-4445-a347-d905dc533e25,34770,200,2022
b5ae0a63-9a8f-402c-aca5-375051e59809,34759,200,2022
25c6527e-3be8-4f4a-8941-d31bd4a1fa5d,30238,100,2022
0de5158c-1557-42e8-a3b3-5c5cf5ebbbbc,34397,200,2022
c6c87037-3241-48d9-88c0-24f7b7b1716e,30111,100,2022
18973eec-205b-4e1c-b522-35b49aef0c57,34289,100,2022
7a487f57-cb0d-4bbc-b54f-622750263ba2,34296,100,2022
c77867ad-688e-4cd8-bf15-406c813db697,34189,100,2022
e4f75c29-5db1-4f10-9b3d-b57cfcf59b5f,34634,100,2022
9cd3ef6c-eac6-47d2-9dc8-b58f2821222e,34519,100,2022
10ad7a93-7e97-4a4b-876c-e51a7f2fd947,34456,100,2022
55e52e38-ddb3-418e-aff0-91589415dbab,30061,100,2022
83fe3d57-03cf-4814-a1c3-0a4dd6d81f80,30095,100,2022
7ae3df33-d96c-4008-83e4-c1d2041ccecb,34751,200,2022
93f8f010-ded5-4b76-ab04-3286003ba167,34218,200,2022
71d2aec3-8b49-457f-97c6-5fba5fd627b9,34506,200,2022
2641bd2b-79ab-437a-8f01-62c37846110f,34688,200,2022
c785b772-e397-4c82-ae65-926a01568a36,30068,200,2022
fa41bb90-9dd5-474a-bba9-4037f7849bcf,34549,200,2022
a4aa9ba6-283a-4c28-bea6-fa235795205c,34629,200,2022
0c4ef7bd-f210-43e3-82d8-19f9ae24bf17,11468,200,2022
f352fd66-d9a2-4a81-a7be-70d9ce97cedb,30070,200,2022
369ce01c-67a5-4fa7-bde2-0c5324e9493a,34840,200,2022
